"Date and Time,""Merchant ID"",""Merchant Name"",""Transaction Type"",""Payment Channel"",""Ayolinx Transaction ID"",""Partner Refference Number"",""Transaction Amount"",""Admin Fee"",""VAT Type"",VAT(11%),""Transaction Settled"",""Transaction Status"",""Settlement Status"",""Merchant Transaction ID"",""Merchant Refference Number"",""Shop ID"",""Settlement Type"",""Create Time"""
"07-06-2026 23:59:59,627,""PT  Langit Karya Utama"",""Open API"",""BNC QRIS"",681cbbbb5eab429fb172143fd60e0e05,000303769724,19999.00000000,126.10000000,Include,13.900000,19859,Success,Settled,PAYIN45443431841726877455721450,Mty29oVFvzPdKhSAYiDBjbUnkcNQmpfau3W8eREJ74H6LZCr5xwXq4WQMZjHJpVX,,Sameday,""2026-06-08 00:00:00"""
"07-06-2026 23:59:59,627,""PT  Langit Karya Utama"",""Open API"",""BNC QRIS"",7d61891625d447b2b5fe34e60b05bffa,000303769738,25000.00000000,157.70000000,Include,17.300000,24825,Success,Settled,PAYIN45443397088982222482347608,D2BdjqurvzsNoGmkbFZW3MyTQwx7ahYtSL5gce9VJ4HinPXC8UfR64WQMZjW2ZYr,,Sameday,""2026-06-08 00:00:00"""
"07-06-2026 23:59:59,627,""PT  Langit Karya Utama"",""Open API"",""BNC QRIS"",81422c07973e4b15864f16025917059e,1p84b0w13768,39000.00000000,245.90000000,Include,27.100000,38727,Success,Settled,PAYIN45443428013585619500002974,3a4pxdbiVnEkszBPwyCu8TcomQLrK5SDh2He7XfFjUWAZq6YJvtN94WQMZkdPbVp,,Sameday,""2026-06-08 00:00:00"""
"07-06-2026 23:59:59,627,""PT  Langit Karya Utama"",""Open API"",""BNC QRIS"",a83fecb4b7d840a4bde4e74163ca9528,1p84b0o56560,100000.00000000,630.60000000,Include,69.400000,99300,Success,Settled,PAYIN45443391317619922338989960,Ej2YMXZxAGr9gLamFbPtvuJRDwcQTWkze4V7p3UfCoB5KNSdy6nqs4WQMZkeaY2K,,Sameday,""2026-06-08 00:00:00"""
"07-06-2026 23:59:59,627,""PT  Langit Karya Utama"",""Open API"",""BNC QRIS"",96cbf7bb70a842a78df1f285073e2f34,1p84b0688491,100000.00000000,630.60000000,Include,69.400000,99300,Success,Settled,PAYIN45443424692116287153034559,hvSbXZsz2yNnGrg4dkjQi6D5aLFK7BJ398VCoAtWqfUHmcRpMEYTe4WQMZmxg57s,,Sameday,""2026-06-08 00:00:00"""
"07-06-2026 23:59:59,627,""PT  Langit Karya Utama"",""Open API"",""BNC QRIS"",c84587c077aa45668611822cec0c9bdf,1p84b0n41449,20000.00000000,126.10000000,Include,13.900000,19860,Success,Settled,PAYIN45443406902814723125491168,LZ2NJHPBcoWpeVs6wfmaKnA8M5ujt3FkGg7yivShUrTDYEQzbR94C4WQMZn2rFQg,,Sameday,""2026-06-08 00:00:00"""
"08-06-2026 00:00:00,627,""PT  Langit Karya Utama"",""Open API"",""BNC QRIS"",bfa2aa088ac34080ad62662ad50a460a,1p84b0l52063,50000.00000000,315.30000000,Include,34.700000,49650,Success,Settled,PAYIN45443417891471776085571914,dcEyt5UVNXPBZL9khbeQSrMDpvjRuHi8W4fw7z3gAmaGF6o2TxKqn4WQMZn3eYUX,,Sameday,""2026-06-08 00:00:00"""
"08-06-2026 00:00:00,627,""PT  Langit Karya Utama"",""Open API"",""BNC QRIS"",422c018993ee4d38ab1e851390e00b0e,1p84b0v18421,40000.00000000,252.30000000,Include,27.700000,39720,Success,Settled,PAYIN45443429504660696118347933,AwS2HnB6JmaFEGV8bTocq5Nv4jCiYXUQDRzLes3MpfhydKu9k7xrP4WQMZn82fHq,,Sameday,""2026-06-08 00:00:00"""
"07-06-2026 23:59:59,627,""PT  Langit Karya Utama"",""Open API"",""BNC QRIS"",5772ade0cf1a48138204862a7296db1a,000303769757,500000.00000000,3153.20000000,Include,346.800000,496500,Success,Settled,PAYIN45443430609440359550806929,PJAmL8cSR6EtwkgGr9xBj2h4azyTVY7KnfdvCHQsUWeFuNoMDpb5X4WQMZn82gG2,,Sameday,""2026-06-08 00:00:00"""
"07-06-2026 23:59:59,627,""PT  Langit Karya Utama"",""Open API"",""BNC QRIS"",26d4f5758546463680a2b913e8bd6451,1p84b0h80944,100000.00000000,630.60000000,Include,69.400000,99300,Success,Settled,PAYIN45443430361557002806284244,U8YimKd49CGE7FPxtpkSLQWrgjTHAZM2VvBacbJunzhoNRe5f63Dw4WQMZn82gB6,,Sameday,""2026-06-08 00:00:00"""
"07-06-2026 23:59:59,627,""PT  Langit Karya Utama"",""Open API"",""BNC QRIS"",22d6aff7561c41ffa8b38b70b1f9b4d2,000303769831,50000.00000000,315.30000000,Include,34.700000,49650,Success,Settled,PAYIN45443428922491294076220527,2Thep3oWVCyNAMaZPdQGUcnf7mu9bEKBxzHvkwJRSDi8Xj5gq6FtL4WQMZn8RKfV,,Sameday,""2026-06-08 00:00:00"""
"08-06-2026 00:00:00,627,""PT  Langit Karya Utama"",""Open API"",""BNC QRIS"",032334e8b803447b9a0ee14d72672ece,000303769846,50000.00000000,315.30000000,Include,34.700000,49650,Success,Settled,PAYIN45443429518082458481768578,kRTnQc3vZBudLwzCmJGeVjNEfpyqSb984Xt6F5WiMPKo2HsDxa7hY4WQMZn9cH9Y,,Sameday,""2026-06-08 00:00:00"""
"08-06-2026 00:00:00,627,""PT  Langit Karya Utama"",""Open API"",""BNC QRIS"",0947c16d40304f7e8d7e38c1b4b2135f,1p84b0o56564,25000.00000000,157.70000000,Include,17.300000,24825,Success,Settled,PAYIN45443434936284373795875865,RtpA5NKv6CcJ8gm29frqbkTHXnU3DSha4euZojMiWBGYVQw7LzsPx4WQMZnDC7Pw,,Sameday,""2026-06-08 00:00:00"""
